ሀ,ሀ,,ሀ /ha/ ስ/n. (በክስታንኛ ፊደል ገበታ ቀዳሚ ፊደል) the first letter of the Kistaninya alphabet  ,
ቀዳማ,ቀዳማ,pommel  ,ቀዳማ /k′#dama/ ስ/n. (ቀዳማ፣የኮርቻ የፊተኛው ድጋፍ) pommel  ,
,ቀዳ ቀዳ ባሎ,,ቀዳ ቀዳ ባሎ /k′#da k′#da balo/ ተመልከት see ተስለላው t#sl#llaw  ,
ቀዳ,ቀዳው,draw,"ቀዳው /k′#ddaw/ ግ/v. [yik'#daw, k'³da, wok'da] (ቀዳ) draw ዪጋ በጐደ ቀዳው፡፡ (ውሃ ከጉድጓድ ቀዳ፡፡ He drew water from a well.",
ጮጮ,ቀጆ,,ቀጆ /k′#ğo/ ስ/n. (ጮጮ፣የወተት ማለቢያ እቃ) straw-made milking pot ,
የፀጉር ጉንጉን,ቀጠሬ ,braided hairdo,ቀጠሬ /k'#t'#re/ ስ/n. (የፀጉር ጉንጉን {በቀድሞ ጊዜ ለወንዶች}) braided hairdo (of men in olden days) የድሮ ማጉላ ሰሞት ቀጠሬ ያረሹ ነበር፡፡ (የድሮ ጀግና ፀጉር ጉንጉን ይሰራ ነበር፡፡) The gallants of olden days used to have their hairs braided. ,
ቀጠሮ,ቀጠሮ,appointment ,ቀጠሮ /k'#t'#ro/ ስ/n. (ቀጠሮ) appointment ,
,ቀጠሮ,,ቀጠሮ1  /k'#t't'#ro/ ተመልከት see ቃጠሮ k'at't'#ro ,
ቀጠረ,ቀጠሮ,employ ,"ቀጠሮ2  /k′#t′t′#ro/ ግ/v. [yik'#t'ru, k'³t'#r, wok't'³r] (ቀጠረ {በደሞዝ}) employ one's service ውፍዬ ቁና ገበሬ በደሞዝ ቀጠሮ:: (ውፍዬ ኣንድ ገበሬ በደሞዝ ቀጠረ::) Wuffye employed a helping farmer. ",
ሰነጠቀ,ቀጠቦ,slit,"ቀጠቦ /k′#t′t#bo/ ግ/v. [yik'«n#t'bu, k'³t'«b wok't'³b] (ሰነጠቀ {በመጠኑ በስለት}) make a shallow slit ፎዬ ታዪከታ ኧጀው በገሎድ ቀጠበንትን:: (ፎዬ እጁን ሳያስበው  በቢላዋ ትንሽ ቆረጠ::) Foye mistakenly slit his hand with a knife. ",
ቆንቋና,ቀጠነኘ,stingy,ቀጠነኘ /k'«t'«n«ññ«/ ቅ/adj. (ቆጥቋጣ፣ቆንቋና) stingy ቀጠነኘ ሰብ ቲወዱ፡፡ (ቆጥቋጣ ሰው ኣይወደድም፡፡) A stingy person is not liked.   ,
,ቀጠና,,"ቀጠና /k'«t'«na/ ተመልከት ""ብስ"" ስር ""ብስነት"" see ""b$sënn#t"" under  ""b³s"" ",
ቀጠነ,ቀጠኖ,watery,"ቀጠኖ1 /k′#t't'#no/ ግ/v. [yik'#t'nu, wok't'³n] (ቀጠነ፣ወደውሃነት ተጠጋ) be watery የብልጮ ስከር ቀጠነም ኣልደበል ፈያን:: (የብልጮ ጠላ ቀጠነ እንጂ ጥሩ ነው::) Though Bilcho's local beer is watery it tastes good. ",
,ቀጠኖ,,ቀጠኖ2 /k′#t't'#no/ ተመልከት see ቀጠን ባሎ k′#t′#nn balo ,
ቀጠን አለ,ቀጠን ባሎ,become thinner,"ቀጠን ባሎ /k′#t′#nn balo/ ግ/v. [k′#t′#nn yiblu, k′#t′#nn wob«l] (ቀጠን አለ) become thinner ባዪ ዪለቅጐይ ቀጠን ባሎ፡፡ (ልጁ ሲያድግ ቀጠን አለ፡፡) The boy became thinner as be grew.",
,ቀጠጥ ባሎ ,,ቀጠጥ ባሎ /k′#t′#t′t balo/ ተመልከት see በረቆ1 b«rr«k'o,
,ቀጠጦ,,ቀጠጦ /k′#t′t#t′o/ ተመልከት see በረቆ1 b«rr«k'o ,
ቀጣ,ቀጣው,punish,"ቀጣው /k'#t't'aw/ ግ/v. [yik'«t'aw, k'ët'a, wok't'a] (ቀጣ) punish, penalize ዳኚ የጥፋተኚ ቀጣው፡፡ (ዳኛው ጥፋተኛውን ቀጣ፡፡) The judge passed a verdict on the accused. ",
,ቀጣው, penalize,"ቀጣው /k'#t't'aw/ ግ/v. [yik'«t'aw, k'ët'a, wok't'a] (ቀጣ) punish, penalize ዳኚ የጥፋተኚ ቀጣው፡፡ (ዳኛው ጥፋተኛውን ቀጣ፡፡) The judge passed a verdict on the accused. ",
ቅጣት,ቅጣት,punishment,"ቅጣት /k'³t'at/ ስ/n. (ቅጣት) punishment, penalty  ",
,ቅጣት,penalty  ,"ቅጣት /k'³t'at/ ስ/n. (ቅጣት) punishment, penalty  ",
ኣባይ,ቀጣፊ,cheat,"ቀጣፊ /k′#t′afi/ ቅ/adj. (ቀጣፊ፣ኣባይ) liar, cheat ቀጣፊ ሰብ ስርም ቲያምኑ:: (ቀጣፊ ሰው ምን ጊዜም ኣይታመንም::) A cheat is never trusted. ",
ቀጣፊ,ቀጣፊ,liar,"ቀጣፊ /k′#t′afi/ ቅ/adj. (ቀጣፊ፣ኣባይ) liar, cheat ቀጣፊ ሰብ ስርም ቲያምኑ:: (ቀጣፊ ሰው ምን ጊዜም ኣይታመንም::) A cheat is never trusted. ",
ማጭበርበር,ቅጥፈት,cheating ,ቅጥፈት /k'³t′f#t/ ስ/n. (ቅጥፈት፣ማጭበርበር) cheating ,
የማይፈራ,ቀጤ,fearless,ቀጤ /k'«t't'e/ ቅ/adj. (የማይፈራ፣ የማይወላውል) fearless ,
ቀጤማ,ቀጤማ,rush ,ቀጤማ /k′#t′ema/ ስ/n. (ቀጤማ) reed or rush ,
,ቀጤ ቀምበጤ,,ቀጤ ቀምበጤ /k′#t′te k′#mb#t′te/ ተመልከት see ቀንጡ k′#nt′u,
,ቀጥር,,ቀጥር /k′#t'³r/ ስ/n. (የቤት ጣራ ውስጣዊ ገፅታ) the inner part of a thatched roof የጌ ቀጥር ብዠኋንጐይ ተን ያጠቅርትን፡፡ (የቤት ውስጣዊ ጣራን ኣብዛኛውን ጊዜ ጢስ ያጠቁረዋል፡፡) The inner part of a thatched roof is usually blackened by soot. ,
ተንቀጠቀጠ),ቀጥቀጥ ባሎ,shudder ,"ቀጥቀጥ ባሎ /k′#t′k'«t′ balo/ ግ/v. [k′#t′k'«t′ yiblu, k′#t′k'«t′ wob«l] (ተንቀጠቀጠ) shudder ውርቀ ቀጥቀጥ ያብሉ:: (ብርድ ያንቀጠቅጣል::) Cold weather causes shuddering ",
,ቀጥቀጥ ባሎ,,ቀጥ ቀጥ ባሎ /k′#t′t' k′#t′t balo/ ተመልከት see ቀና ቀና ባሎ2 k′#na k′#na balo,
ቀስፎ ያዘ,ቀጥ ባሎ,feel pain,"ቀጥ ባሎ /k′#t′ balo/ ግ/v. [k′#t′ yiblu, k′#t′ wob«l] (ቀስፎ ያዘ) feel pain (suddenly) ምሽቲ በኧጂና ዳፋ ቀጥ ባለቲ፡፡ (ሴትየዋን ውጋት ቀስፎ ይዟታል፡፡) She felt sudden pain.  ",
ቀጥ ኣለ,ቀጥ ባሎ,halt suddenly,"ቀጥ ባሎ /k'#t't' balo/ ግ/v. [k'#t't' yiblu, k'#t't' b«l, k'#t't' wob«l] (ቀጥ ኣለ) halt suddenly",
,ቀጥብ,,ቀጥብ /k′#t′b/ ስ/n. (በሁለት እርሻ መካከል የሚገኝ የሳር ድንበር) grass-covered stripe of land between two farms ,
ቀጥታ,ቀጥታ,straight,"ቀጥታ /k′#t′t³ta/ ቅ/adj. (ቀጥታ፣ ያልተጣመመ) straight, not bent ሞጪ ቀጥታ ተበቴስታንይ ያሰላው:: (መንገዱ ቀጥታ ወደ በተስኪያን ያደርሳል::) The road leads straight to the church. ",
ሸበላ,ቀጨላ,young man ,ቀጨላ /k′#č′#la/ ስ/n. (ሸበላ) a young man (with good posture) ዎዘላ ዪዎድ ቀጨላ (ስራ የሚወድ ወጣት) a hard working young man ,
ቀጭን ዘንግ,ቀጨሌ ,slender stick,"ቀጨሌ /k′#č′#le/ ስ/n. (ረዘም ያለ ቀጭን ዘንግ) a slender stick ኣርዴ ኣጉሽት ያዳብናጐይ ቀጨሌ ዪዝሙን:: (ወጣት ወንዶች ለ""ኣዳብና"" ጨዋታ ቀጭን ዘንግ ይይዛሉ::) Young men hold slender stick during adab³nna festival.",
የልጅ ኣዋቂ,ቀጨመኘ,over-matured,ቀጨመኘ /k′#č′#m#ññ#/ ቅ/adj. (የልጅ ኣዋቂ) an over-matured  child ኣታት ቀጨመኘ ባይ ተኣታት ገዋ ባሊቅ ዪጮኙ:: (ኣንዳንድ ብልህ ልጅ ከኣንዳንድ ጅል ሰው ይሻላል::) Some sensible young ones are better than some foolish men. ,
,ቀጨም ኣበሎ ,,ቀጨም ኣበሎ /k′#č#mm ab«lo/ ተመልከት see ለቀም ኣበሎ l«k′«mm ab«lo,
ቀጨሞ,ቀጨሞ,Myrsine africana,ቀጨሞ /k′#č′#mo / ስ/n. (ቀጨሞ) wild plant seeds used as anthelmentic (Myrsine africana) ,
,ቀጨረ,,"ቀጨረ1 /k′#č′#r#/ ስ/n. (ከምስር ጋር ተቀላቅሎ የሚገኝ ጠጣር ፍሬ) hard tiny seeds mostly found in lentil seeds በኧቡር የከሎ ቀጨረም ግድርን:: (ከንፉግ የተገኘ ""ቀጨረ"" ቢሆን ትልቅ ነው::) ኣባባል Even k'#č'#r# is too much that one gets from a miser. (saying)",
,ቀጨረ,,ቀጨረ2 /k′#č′#r#/ ተመልከት see ቀንጨራ1 k'#nč'#ra,
,ቀጨጮ,,ቀጨጮ /k'«č'č'«č'o/ ተመልከት see ጢዦ t'ižžo,
ቀጭን,ቀጪን,thin ,ቀጪን /k′#č′in/ ቅ/adj. [2] (ቀጭን፣ ሰናና) thin ጨመቴ ቀጪን በትር ዪነንትን:: (ጨመቴ ቀጭን ብትር ኣለው::) Chemate has got a thin walking staff. ,
ጅራፍ,ቀጬ,whip,ቀጬ /k′#č′č'e/ ስ/n. (ጅራፍ {በሬ መግረፊያ}) long whip (used to urge ploughing oxen) ,
,ቀጭቀጫጭ,,ቀጭቀጫጭ /k′#č′č′³k′#č′ač′č′/ ተመልከት see ቀጭ ባሎ k′#č′č′  balo,
ለዛ ቢስ,ቀጭቀጭ ባሎ,boring,"ቀጭቀጭ ባሎ /k′#č′k′#č′ balo/ ግ/v. [k′#č′k′#č′ yiblu, k′#č′k′#č′ wob«l] (ለዛ ቢስ ሆነ፣ንግግሩ ኣሰለቸ) become boring (speech) ቀጭቀጭ ዪብል ኣውራር ቲዎዱ:: (ኣሰልቺ ንግግር ኣይወደድም::) A boring speech is not liked. ",
ኣሰልቺ,ቀጭቃጫ,boring ,ቀጭቃጫ /k′#č′k′ač′č′a/ ቅ/adj. (ለዛ ቢስ፣ኣሰልቺ) boring ,
ጠብ ጫረ,ቀጭ ባሎ,instigate a quarrel,"ቀጭ ባሎ /k′#č′č′ balo/ ግ/v. [k′#č′č′ yiblu, k′#č′č′ wob«l] (ጠብ ጫረ {ያለበቂ ምክንያት}) instigate a quarrel (with no good reasons) እነዝጭ ቀጭ ቲብሉም ተሰብጐይ ቲጣሎ:: (እንዲያው ከመሬት ተነስቶ ከሰው ጋር መጣላት ኣይገባም::) One should not indulge in a quarrel for no good reason. ",
ምክንያት ኣልባ,ቀጭታ,unreasonable  ,ቀጭታ /k′#č′č′³ta/ ቅ/adj. (ምክንያት ኣልባ) unreasonable  ,
ቀጭኔ,ቀጭኔ,giraffe,ቀጭኔ /k′#č′č′³ne/ ስ/n. (ቀጭኔ) giraffe ,
,ቀጮ,,ቀጮ /k′#č′o/ ተመልከት see ቀጨመኘ k′#č′#m#ññ# ,
ቀጨ,ቀጮ,aborted,"ቀጮ /k′#č′č′o/ ግ/v. [yik'«č'u, wok'č'] (ቀጨ፣ኣጨናገፈ፣ ኣስወገደ) cause failure (plans) መመሬ የጡረሞ ኣቅድ ቀጨቦት፡፡ (መመሬ የጡረሞን እቅድ ኣጨናገፈበት፡፡) Memmere aborted Turemo's plan. ",
ቀፈፈ,ቀፈፎ,trim,"ቀፈፎ /k′#ff#fo/ ግ/v. [yi'k'#ffu, k'³f#f, wok'f³f] (ቀፈፈ፣ ኣስተካከለ) trim or cut off (as with finger nails) ኳ ጠፍረው ቀፈፎ:: (እሱ ጥፍሩን ቀፈፈ::) He cut off his finger nails. ",
ቆላለፈ,ቁለለ ,lock,"ቁለለፎ /k′ul#ll#fo/ ግ/v. [yik'ul«ll³fu, k'ul«lf, wok'ul#lf] (ቆላለፈ) lock (more than one key) ቱፈር በሮቺ ኩልምክነም ቁለለፎ:: (ቱፈር ሁሉንም በሮች ቆላለፋቸው::) Tufar locked up all the doors. ",
ቆለመመ,ቁለመሞ,bend,"ቁለመሞ /k′ul#mm#mo/ ግ/v. [yik'ul«mmëmu, k'olmëm, w'ok'olmëm] (ቆለመመ) bend sth. ""ኧጀ ወርቂ"" ብረቲ ኣገለም ቁለመመንት፡፡ (ብረት ሰራተኛው ብረቱን ኣግሎ ቆለመመው፡፡) The blacksmith bent the iron bar after heating it.",
ኮመጠጠ,ቁለመጦ,sour ,"ቁለመጦ /k'ul#mm#t'o/ ግ/v. [yik'ul#mm³t'u, wok'olm³t'] (ኮመጠጠ) be sour ስከር ማለቅ በስነበተ ዪቁለምጡ፡፡ (ጠላ ብዙ ጊዜ ከቆየ ዪኮመጥጣል፡፡) Local beer gets sour if kept longer.",
ድብልቅ,ቁሉቁል,mixture,ቁሉቁል /k'uluk'k'ul/ ስ/n. (ቅልቅል፣ ድብልቅ) mixture የስሪና የገብስ ቁሉቁል (የስንዴና የገብስ ቅልቅል) a mixture of wheat and barley,
ችኩል,ቁል,impatient,"ቁል /k′ull/ ቅ/adj. (ችኩል) impatient, hasty ቁል ሰብ ስተት ያበዛውን:: (ችኩል ሰው ስህተት ያበዛል::) A hasty person makes mistakes. ",
ችኩልነት,ቁልነት,haste ," ቁልነት /k'ull³nn#t/ ስ/n. (ችኩልነት) impatience, haste ቁልነት ቲጠቅም:: (ችኩልነት ኣይጠቅምም::) ኣባባል Haste makes waste. (saying) ",
ተጨነቀ,ቁልቁል ባለንት,be anxious ,"ቁልቁል ባለንት /k′ulk′ul bal«nnët/ ግ/v. [k′ulk′ul yibëllët, k′ulk′ul wob«l] (ተጨነቀ፣ሰጋ) be anxious ቁልቁል ኣንበክም:: (ስለእኔ ኣትጨነቁ::) Don't be anxious about me. ",
ጭንቀት,ቁልቁልታ,anxiety,"ቁልቁልታ /k′ulk′ulta/ ስ/n. (ጭንቀት፣ስጋት) anxiety, worry ፈልቃ በምጠጠኚ ባይሂ ዳፋ ቁልቁልታ ዪዘናም:: (ፈልቃ በህመምተኛው ልጇ የተነሳ ጭንቀት ይዛEታል::) Felka's anxiety is about her sick child.",
ስጋት,ቁልቁልታ,worry,"ቁልቁልታ /k′ulk′ulta/ ስ/n. (ጭንቀት፣ስጋት) anxiety, worry ፈልቃ በምጠጠኚ ባይሂ ዳፋ ቁልቁልታ ዪዘናም:: (ፈልቃ በህመምተኛው ልጇ የተነሳ ጭንቀት ይዛEታል::) Felka's anxiety is about her sick child.",
ኣንከባለለ,ቁልጭልጭ ባሎ,roll about ,"ቁልጭልጭ ባሎ /k′ul³č'l³č′č' balo/ ግ/v. [k′ul³č′l³č′č' yiblu, k′ul³č′l³č′č' wob«l] (ኣንከባለለ {ኣይኑን}) roll about (one's eyes) ",
,ቁልጭቁልጭ ባሎ ,,ቁልጭ ቁልጭ ባሎ /k′ull³č′č′ k′ull³č balo/ ተመልከት see ቁልጭ ባሎ k′ull³č′č′ balo,
ኣፈጠጠ,ቁልጭ ባሎ,eyes open,"ቁልጭ ባሎ /k′ull³č′č′ balo/ ግ/v. [k′ull³č′č′ yiblu, k′ull³č′č′ wob«l] (ቁልጭ ኣለ፣ኣፈጠጠ) keep the eyes open ምኝት ኣልማን ቁልጭ ባኩም ኣደርኪ:: (ያለ እንቅልፍ ቁልጭ ብዬ ኣደርኩኝ::) I spent the night with my eyes open. ",
ጓጉንቸር,ቁልፍ,padlock,ቁልፍ1 /k′ulf/ ስ/n. (ቁልፍ፣ጓጉንቸር) padlock ብያኔ የሳጥን ቁልፍ ዋጆ:: (ብያኔ የሳጥን ቁልፍ ገዛ::) Biyane bought a padlock for his box. ,
ኣዝራር,ቁልፍ,button ,ቁልፍ2 /k′ulf/ ስ/n. (ኣዝራር) button ,
ጥቅጥቅ ኣለ,ቁልፍ ባሎ,dense,"ቁልፍ ባሎ /k′ull³ff balo/ ግ/v. [k′ull³ff yiblu, k′ull³ff wob«l] (ጥቅጥቅ ኣለ) become dense ቁልፍ የባለ ድብር ለዎተለፍ ያትሚካው:: (ጥቅጥቅ ያለ ጫካ ለማለፍ ያስቸግራል::) It is difficult to pass through a thick forest.",
ተጋ,ቁመረሮ,become diligent,"ቁመረሮ /k'um#rr#ro/ ግ/v. [yik'um#rr³ru, k'omr³r, wok'omr³r] (ተጋ፣በረታ) become diligent ኣርዴዪ ጐሽ በዎዘላኋን ቁመረረም፡፡ (ወጣቱ ልጅ በስራው ተግቷል፡፡) The young man has become diligent in his work. ",
ብርቱ,ቁምርር,diligen, ቁምርር /k'umr³r/ ቅ/adj. (ትጉህ፣ብርቱ) diligen,
ሽቅብ,ቁመኒየት,upwards ,ቁመኒየት /k′um#niy#t/ ተ.ግ/adv. (ሽቅብ) upwards ,
ቁመና,ቁመና,stature,"ቁመና /k′um#na/ ስ/n.  (ቁመና፣ተክለ ሰውነት) stature, posture ኪያ ቁመናሂ ፈያን፡፡ (እሷ ቁመናዋ ጥሩ ነው፡፡) Her stature is nice. ",
ተክለ ሰውነት,ቁመና,posture,"ቁመና /k′um#na/ ስ/n.  (ቁመና፣ተክለ ሰውነት) stature, posture ኪያ ቁመናሂ ፈያን፡፡ (እሷ ቁመናዋ ጥሩ ነው፡፡) Her stature is nice. ",
,ቁመን,,ቁመን /k′um#n/ ተመልከት see ቁመኒየት k'um«niy#t,
ወደላይ ኣለው,ቁመንቁመን ባለንት,nausea ,"ቁመን ቁመን ባለንት1/k′um#n k′um#n bal«nn³t/ ግ/v. [k′um#n k′um#n yib³ll³t, k′um#n k′um#n wob«l] (ወደ ላይ ወደ ላይ ኣለው {ትውኪያ}) feel nausea ",
እንቅ ኣረገው,ቁመንቁመን ባለንት,gasp,"ቁመን ቁመን ባለንት2/k′um#n k′um#n bal«nn³t/ ግ/v. [k′um#n k′um#n yib³ll³t, k′um#n k′um#n wob«l] (እንቅ እንቅ ኣረገው {ለኣተነፋፈስ}) breath heavily, gasp",
ጤንነት,ቁማፌት,well being,"ቁማፌት /k′umafet/ ስ/n. (ጤንነት፣ ጤና) health, well being ቁማፌት ተኩልምቃይ ዪልቁ:: (ጤንነት ከሁሉ ነገር ይበልጣል::) Health is the most important of all things. ",
ጤና,ቁማፌት,health,"ቁማፌት /k′umafet/ ስ/n. (ጤንነት፣ ጤና) health, well being ቁማፌት ተኩልምቃይ ዪልቁ:: (ጤንነት ከሁሉ ነገር ይበልጣል::) Health is the most important of all things. ",
ጤናማ,ቁማፌተኘ, healthy,ቁማፌተኘ /k'umafet#ññ#/ ቅ/adj./ ፍጡር ቃል /coinage (ጤናማ) healthy  ቁማፌተኘ ሰብ (ጤናማ ሰው) a healthy person,
ጤና ኣጠባበቅ,ቁማፌትኬር ,health care,ቁማፌትኬር /k′umafetker/ ስ/n./ፍጡር ቃል/coinage (ጤና ኣጠባበቅ፣የጤና እንክብካቤ) health care,
ጤና ጣቢያ,ቁማፌትኬርጌ,health center ,(የ)ቁማፌትኬርጌ/(y«)k'umafetkerge/ ስ/n. (ጤና ጣቢያ) health center በቡኢ ኣዲስ የቁማፌትኬርጌ ተረሸም፡፡ (ቡኢ ላይ ኣዲስ ጤና ጣቢያ ተሰርቷል፡፡) A new health center is built at Buii,
እርሱ ራሱ,ቁም ,himself,ቁም /k′um/ ተ.ስ/pron. (እርሱ ራሱ) self ኳ ቁመው ቂናንት:: (እሱ እራሱ ኣረገው::) He himself did it.,
ኮስታራ,ቁምርር,,ቁምርር /k'umr³r/ ቅ/adj./ለጠላ፣ ለኣረቄ/of home-made liquors (ኮስታራ፣ጥሩ) of good quality ,
ስቃይ,ቁምስቅል,agony ,"ቁምስቅል /k′ums³k'³l/ ስ/n. (ቁምስቅል፣ስቃይ) great suffering, agony ",
ቁምነገር,ቁምነገር ,worthwhile,ቁምነገር /k′umn#g#r/ ስ/n. [1] (ቁምነገር) a worthwhile thing ,
ቁምነገራም, ቁምነገረኘ,trustworthy, ቁምነገረኘ /k'umn#g#r#ññ#/ ቅ/adj. (ቁምነገራም) trustworthy ቁምነገረኘ ሰብ ይትከበዱ፡፡ (ቁምነገራም ሰው ይከበራል፡፡) A trustworthy person is respected ,
ቁም ከብት,ቁም ግዝ,heads of cattle,ቁም ግዝ /k′um g³zz/ ስ/n. (ቁም ከብት) heads of cattle ቁና በቅል ቁም ግዝ ያለን ደንገኘን፡፡ (ኣንድ መቶ ቁም ከብት ያለው ሃብታም ነው፡፡) One who possesses a hundred heads of cattle is a rich person.,
ቆረቆረ,ቁረቆሮ ,irritate,"ቁረቆሮ /k′ur#k′k′oro/ ግ/v. [yik'ur«k'k'uru, wok'ork'ur] (ቆረቆረ፣ጐረበጠ) irritate, cause discomfort ",
ጐረበጠ,ቁረቆሮ ,discomfort ,"ቁረቆሮ /k′ur#k′k′oro/ ግ/v. [yik'ur«k'k'uru, wok'ork'ur] (ቆረቆረ፣ጐረበጠ) irritate, cause discomfort ",
ጫፍ,ቁረት,tip ,ቁረት /k′ur#t/ ስ/n. (ጫፍ) tip ,
,ቁረጨንት,,"ቁረጨንት /k'ur#č'č#'nn³t/ ግ/v./ለኮሶኛ/of one who has taken k#bs# [yk'ur#č'č'³nn³t, wok'orč'] (ኣደከመው {ኮሶ}) be weakened (by the side effects of k#bs#) ኳ የሰጨኒ ከብሰ ቁረጨንት፡፡ (እሱ የጠጣው ኮሶ ኣድክሞታል፡፡) He is weakened by the k#bs# he has taken.",
ቡሎን,ቁሩምፉድ,nut and bolt,ቁሩምፉድ1 /k′urumfud/ ስ/n. (ቡሎን) nut and bolt ብረትና ብረት በቁሩምፉድ ያቲዚዙትን:: (ብረትና ብረት በቡሎን  ይያያዛል::) A metal could be fastened with another metal using nut and bolt. ,
ቅርምፉድ,ቁሩምፉድ,clove,ቁሩምፉድ2 /k′urumfud/ ስ/n. (ቅርምፉድ {ቅመም}) clove (spice) ,
ቁሩር ኣለ,ቁሩር ባሎ,trickle flow,"ቁሩር ባሎ /k′ururr balo/ ግ/v./ለፈሳሽ /of liquids [k′ururr yiblu, k′ururr wob«l] (ቁሩር ኣለ) trickle flow (in thin stream) ፍየሊ ያርዱጐይ ደመው ቁሩር ባለም ዎረዶ፡፡ (ፍየሉ ሲታረድ ደሙ ቁሩር ብሎ ወረደ፡፡) When the goat was slaughtered its blood trickled down. ",
ቀስብሎ ጠጣ,ቁሩር ኣበሎ,sip,"ቁሩር ኣበሎ /k′ururr ab«lo/ ግ/v. [k′ururr yablu, k′ururr abël, k′ururr wab³l] (ቀስ ብሎ ጠጣ) sip ሰቦቺ በሸባልጌ ስከር ቁሩር ቲያብልም ዋልሙን:: (ሰዎቹ ሰርግ ቤት ጠላ ሲጨልጡ ዋሉ::) The men passed the day sipping local beer at the wedding festival. ",
ኩርኩም,ቁሪት ,rap,ቁሪት /k'urrit/ ስ/n. (ኩርኩም) rap s.o. on the head ያተከሪ ባይ ጉነነው ኩረኰመንት፡፡ (የሚያስቸግረውን ልጅ ራሱን ኰረኰመው፡፡) He rapped the naughty boy on the head.,
,ቁሪየት,,ቁሪየት /k′uriy#t/ ተመልከት see ቀምቢየት k′«mbiy«t ,
ቁራ,ቁራ,crow,ቁራ /k'ura/ ስ/n. (ቁራ) crow,
,ቁራረሶ ,,ቁራረሶ /k'urarr«so/ ተመልከት see ፍረረሞ f³r«rr«mo,
ጐበዝ,ቁራሪሳ,clever ,ቁራሪሳ /k′urarissa/ ቅ/adj. (ጐበዝ፣ ንቁና ደፋር {ወጣት}) clever and fearless (for youth) ኣት ቁራሪሳ ባይ የዛንጀራሪ በእማየ ሰደዶ፡፡ (ኣንድ ጐበዝ ልጅ ዝንጀሮዎቹን በድንጋይ ኣባረረ፡፡) One clever boy chased away the baboons with a stone. ,
ቆራረሰ,ቁርስርስ ኣበሎ,break,"ቁርስርስ ኣበሎ /k′ur³sr³ss ab«lo/ ግ/v. [k′ur³sr³ss yablu, k′ur³sr³ss abël, k′ur³sr³ss wab³l] (ቁርስርስ ኣረገ፣ቆራረሰ) break (into lesser pieces) እሚትኛ የርባት ጉንስ ቁርስርስ ኣበለትም ኣኪለተቲ:: (እናታችን የእራት ቂጣ ቁርስርስ ኣርጋ ኣዘጋጀች::) Our mother broke the local bread to lesser pieces for supper.",
,ቁርስ ባሎ,,ቁርስ ባሎ /k′urr³ss balo/ ተመልከት see ተፈረሞ t#f#rr#mo ,
ቁርሾ ,ቁርሾ ,grudge,ቁርሾ /k′uršo/ ስ/n. (ቁርሾ) grudge ደድባር ቢደሌም ባለም ቄንሶ ቁርሾ ዪዘቦም፡፡ (ደድባር በድሎኛል ብሎ ቄንሶ ላይ ቂም ይዞበታል::) Dedbar has a grudge against Qenso because he says that the latter has done bad to him.,
